role,filename,sr,channels,subtype,duration,frames,min,max,max_abs,rms,dc_offset,nan,inf,near_silent,n_samples_near_fullscale,max_consecutive_run_near_fullscale
HS,F_AF_A.wav,4000,1,PCM_16,15.0,60000,-0.020782470703125,0.024871826171875,0.024871826171875,0.001814710332100755,1.9480387369791668e-07,False,False,False,0,0
HS,F_AF_LUSB.wav,4000,1,PCM_16,15.0,60000,-0.033416748046875,0.01788330078125,0.033416748046875,0.003145059465682781,-6.2408447265625e-07,False,False,False,0,0
HS,F_ESM_LLSB.wav,4000,1,PCM_16,15.0,60000,-0.025482177734375,0.0308837890625,0.0308837890625,0.004334508784710337,-9.394327799479166e-07,False,False,False,0,0
HS,F_ESM_LUSB.wav,4000,1,PCM_16,15.0,60000,-0.066619873046875,0.07470703125,0.07470703125,0.004594630079239463,-5.320231119791667e-06,False,False,False,0,0
HS,F_ESM_RUSB.wav,4000,1,PCM_16,15.0,60000,-0.01666259765625,0.017486572265625,0.017486572265625,0.0021319869882481584,4.450480143229167e-07,False,False,False,0,0
HS,F_LDM_A.wav,4000,1,PCM_16,15.0,60000,-0.02752685546875,0.025360107421875,0.02752685546875,0.0034570137367415563,7.1563720703125e-07,False,False,False,0,0
HS,F_LDM_LLSB.wav,4000,1,PCM_16,15.0,60000,-0.06158447265625,0.093353271484375,0.093353271484375,0.010931724023020914,3.6773681640625e-07,False,False,False,0,0
HS,F_LDM_LUSB.wav,4000,1,PCM_16,15.0,60000,-0.025543212890625,0.0247802734375,0.025543212890625,0.0032793514685661696,-6.317138671875e-07,False,False,False,0,0
HS,F_LSM_A.wav,4000,1,PCM_16,15.0,60000,-0.017059326171875,0.016265869140625,0.017059326171875,0.002364092709205854,3.2297770182291667e-07,False,False,False,0,0
HS,F_LSM_LLSB.wav,4000,1,PCM_16,15.0,60000,-0.033843994140625,0.03411865234375,0.03411865234375,0.0027185064845947314,8.214314778645833e-07,False,False,False,0,0
