path,role,filename,sha256,md5
../data/raw\HS_extracted/HS\F_AF_A.wav,HS,F_AF_A.wav,0c8586c0e130c27690ab8899c7936923410ea5de7caf77a1ce625414154eafbb,ed42608100859ba100e51c922fad526b
../data/raw\HS_extracted/HS\F_AF_LUSB.wav,HS,F_AF_LUSB.wav,88817e8f2f34b462eb56557bccc3983755a911e26e422bfd9ff38bf44bdb4832,81988975408a96e0d438abe1854bde33
../data/raw\HS_extracted/HS\F_ESM_LLSB.wav,HS,F_ESM_LLSB.wav,c1f3218b6eb105c9a1a345781dc0f71ae001094fa8b83de53f97a29eab6d4c2d,f5f3e4951075ba85e1b4f5e21ce0d0b1
../data/raw\HS_extracted/HS\F_ESM_LUSB.wav,HS,F_ESM_LUSB.wav,008d47f314df8d536a5a3a12f22e74fc2407cfa2f7be4b2167571aa304dd7e38,4e38828aa11245a1529906bfda367d9e
../data/raw\HS_extracted/HS\F_ESM_RUSB.wav,HS,F_ESM_RUSB.wav,d86d743fa04519413a81fa8f42f92ca6754472625d90263ef46da833b7706281,c57f90227b2ce4ac99e6a7d89bdda777
../data/raw\HS_extracted/HS\F_LDM_A.wav,HS,F_LDM_A.wav,82f4276b0dc48d189ec952659bba468b19448614167c23ad26b73663d1de546c,81af6512a3602dd86c79ef28cf56d8b4
../data/raw\HS_extracted/HS\F_LDM_LLSB.wav,HS,F_LDM_LLSB.wav,69e5156243d5e7fa8763895e2ffacb2513675f0b60319333b2d34e90d66ea1f8,f85698e130f932ab2fee348e54c2febb
../data/raw\HS_extracted/HS\F_LDM_LUSB.wav,HS,F_LDM_LUSB.wav,9c5ff84f4ab96048a1f61f63e2d550af314f9c439530cce74bcc4a2355881c73,e43499578fae01a72eee01deaba95782
../data/raw\HS_extracted/HS\F_LSM_A.wav,HS,F_LSM_A.wav,75c2880908609dc205961705e3c61659cb0100f2c4a4486fa980e434f045a250,7f0c0ba0c88a86c020cc956346c84d46
../data/raw\HS_extracted/HS\F_LSM_LLSB.wav,HS,F_LSM_LLSB.wav,a3a034d756b5bbef243f7b0a28b7b9b366de8d42b6ada0414be87412d93551f3,c33ce94cc6f322b45ab257a0cb6c03b5
../data/raw\HS_extracted/HS\F_LSM_LUSB.wav,HS,F_LSM_LUSB.wav,2778d5741abddac9df61c9d6c8e56b33e8e03e8b72e8e2dd4f328018a709feb5,74d1e60a3263dfa6d5ba9d5d2fb6bb05
../data/raw\HS_extracted/HS\F_MSM_A.wav,HS,F_MSM_A.wav,9e2474ad2e766a1da84a3af494f05736971c985efc2a3c0aab80ef42bd86bb6a,e0620a529da8719066f1ef9f0b6b0785
../data/raw\HS_extracted/HS\F_MSM_LLSB.wav,HS,F_MSM_LLSB.wav,1194f42559999a9d8fa5d8cc20ee6cfc2ed8047df99c30186b28587ce30941b7,aae2fc11f1076e1b4a22e07b20f30f00
../data/raw\HS_extracted/HS\F_MSM_LUSB.wav,HS,F_MSM_LUSB.wav,5990211522e34db14f7756715a99cd54f6441a4b3c8f30cc6b4e8b93b9c77289,9cb8506633d729eb23ac6d9c769a05e6
../data/raw\HS_extracted/HS\F_N_A.wav,HS,F_N_A.wav,1e44aa69ab96779a6bcaadbfa931faf88701a2f2a4f5fbae0ede995627969149,cc657bd1fe9108cafa0dfdf635466256
../data/raw\HS_extracted/HS\F_N_LC.wav,HS,F_N_LC.wav,af10e002f75890b1000725446288d23fa6932926879ecf5ee575ee05399f6004,61aa0a31c56bf6d8d38a3561ee0eb1b4
../data/raw\HS_extracted/HS\F_N_LLSB.wav,HS,F_N_LLSB.wav,2ad22e4f843b3bdb4bc29f170acef9b5af42d352cfe1a4b895d92a13dcffd175,0a9c9b416fc1acefe14e314a48dbf9f4
../data/raw\HS_extracted/HS\F_N_LUSB.wav,HS,F_N_LUSB.wav,67e3185b169c948de9783386124a91b615760f7f7d1929012308e7eba57b9b13,c0ab61b92388cfb44a0322f12fed57cc
../data/raw\HS_extracted/HS\F_N_RC.wav,HS,F_N_RC.wav,934df9a969d22e6ff6cc67420d79fb35c6b8516b9f20de66fc9c144fd0af6d0c,c58c285e709fd7a940ce4770e3dcdd9a
../data/raw\HS_extracted/HS\F_N_RUSB.wav,HS,F_N_RUSB.wav,0ff7799ce9e49afff14fa48eeb7d47b92d665951fee419e198291a474834d719,ec4655a7ee1b6deb74ee5477f6e4750d
../data/raw\HS_extracted/HS\F_S3_A.wav,HS,F_S3_A.wav,2f726202cb58008ea99e7ffcee59349b93b24d8d21024881775696a1efb66d88,b6ee3a9ae6a96776327507dfe6f4243d
../data/raw\HS_extracted/HS\F_S3_LC.wav,HS,F_S3_LC.wav,e47372e6546db6426159d14f677d151e9e5d371bb2e37eba867dc0150d1f149a,bb47a0daac89ca5fa39cdf2f698222c5
../data/raw\HS_extracted/HS\F_S3_LLSB.wav,HS,F_S3_LLSB.wav,bde684e26a262cbbe09105e8f609d34160035d1fd8198f9806c08b172955a812,711cf84544ee9e46bb05894bb986c668
../data/raw\HS_extracted/HS\F_S4_RC.wav,HS,F_S4_RC.wav,d3bb640c1411d2a21fe35aaaa84076888144d9ab7dc0b02ebaeef76c3c3c905d,26aa3578a697b16ac7b8bc551b90faed
../data/raw\HS_extracted/HS\F_T_A.wav,HS,F_T_A.wav,c73d7749bbed0d9281913e0fbdf70ed01e5c10f6e41be4d06d65d71064bf9d94,aa2c1b52c1e198766905ea02fc09d8a9
../data/raw\HS_extracted/HS\F_T_RC.wav,HS,F_T_RC.wav,48adc3e3a3e5e66f6e02cf186523692e1066dd361eaf20069a8515d00900ec67,74883c2e3259f2cc4ccdc0cf3e181f3d
../data/raw\HS_extracted/HS\M_AF_LC.wav,HS,M_AF_LC.wav,69d07217522cbb9440a8b442d34c981a977b4bae3668bb6e07ad2217bbd52623,c9b42f24111e740296dc964accd3a228
../data/raw\HS_extracted/HS\M_AF_RUSB.wav,HS,M_AF_RUSB.wav,8e26f0831bf23eaee0e31582a8346a334980eace1c384014e3248bcd12f5a306,50548776dbbda5fd029cb74f1667cf39
../data/raw\HS_extracted/HS\M_AVB_A.wav,HS,M_AVB_A.wav,daac5d4fd3a6cd2999879b6f371918fa0ab574fada1248683f3126418bccff12,dd6200f5fc107065aa339032cb5af4a6
../data/raw\HS_extracted/HS\M_AVB_LLSB.wav,HS,M_AVB_LLSB.wav,405f51125b2d439c6f952837719c881755d6df7f2357192fde52ffe10fa89665,2c6a7dbcb0981d7f226063005c126c74
../data/raw\HS_extracted/HS\M_AVB_RC.wav,HS,M_AVB_RC.wav,2d265504b544dba8893e2e669edbb792061ae3da94906a8152eb1cbecc4070bf,4751234510ac4791b43afaa6f4152032
../data/raw\HS_extracted/HS\M_ESM_A.wav,HS,M_ESM_A.wav,81d85ffcfa724bec98cbee7fc744015e0278884dd1221f1e02c2ceebbf07169b,6de76b8986fee851c0320e2d0429e391
../data/raw\HS_extracted/HS\M_ESM_LUSB.wav,HS,M_ESM_LUSB.wav,ee8738f0acd9a9c3fec30823fe84bfcea9ce80b33296bf8c35143a8e70802cba,09e364dab116e740a27a8f5d3e6a278a
../data/raw\HS_extracted/HS\M_ESM_RUSB.wav,HS,M_ESM_RUSB.wav,06c001b40ec507a1786f0349dbad43ecf4995acfcbcbbfd63a6d7eb3d4eac9c3,7f5815bd4c871b059d3475cd31a4c683
../data/raw\HS_extracted/HS\M_LDM_LC.wav,HS,M_LDM_LC.wav,e70a770aa8567d096f2b7c9d87e5187be8a0209be0e185b6550df40d37977856,9bfed6266c607351ecd11ccff776eb15
../data/raw\HS_extracted/HS\M_LDM_LLSB.wav,HS,M_LDM_LLSB.wav,26d9211ea160a6cc10adecab89e389f68c6abe2f7c5474d8528cffcd4bda047f,418a4b749425655ca5fbcc33e09723b4
../data/raw\HS_extracted/HS\M_LDM_LUSB.wav,HS,M_LDM_LUSB.wav,7cc5ed4feca6640f948180982b4dd6a2af3eccae5064089f56fad3be6b53fe96,d016dfbeaf94eba50ff1c26d4cf0b575
../data/raw\HS_extracted/HS\M_LSM_LUSB.wav,HS,M_LSM_LUSB.wav,01906a7b073ac50269837637dde876016bfed470c1dbb5f0049bfdecde2d39b9,f95a0343e646afe16808a146517b042f
../data/raw\HS_extracted/HS\M_LSM_RUSB.wav,HS,M_LSM_RUSB.wav,130bc3198c44067e9cd0c4ac2822ed97b6015451b2f9083515ee5367f63425f9,721c9e209ddad4ab06141fc4de729e91
../data/raw\HS_extracted/HS\M_MSM_A.wav,HS,M_MSM_A.wav,4b0951ee97fb923b83adbc70115ad1f617e6bfba39add24a411de8845156a159,4ce090e82330a5c4976866c3edcdd799
../data/raw\HS_extracted/HS\M_MSM_LUSB.wav,HS,M_MSM_LUSB.wav,260191f3f132c026e47f08ab18c7ede9f3207c3bc26ee019d4e6888b90bf1c2f,ece7508086229af3c0a4d50e6dd1137d
../data/raw\HS_extracted/HS\M_MSM_RC.wav,HS,M_MSM_RC.wav,173c5afb4040c9eff534a52488d3bc897c9852640b3534378f0f48e60ac630ee,53c1c6d4d5d567fa58e9851f96b9b5cb
../data/raw\HS_extracted/HS\M_MSM_RUSB.wav,HS,M_MSM_RUSB.wav,9e7e6935baca8d4718502025b867bae1027785a6d52fc6f3bc46d2907f5f5f23,d39cce0dc95fff951c283d1d7f3c58bb
../data/raw\HS_extracted/HS\M_N_LC.wav,HS,M_N_LC.wav,2cbdaefb380480e74fe54f2471c0cf96111e57f9dfca877534f5d7ba0b8bcb45,03208d2595da38b45f7784080cc3b386
../data/raw\HS_extracted/HS\M_N_LLSB.wav,HS,M_N_LLSB.wav,7043f1b2c8a517913929acdc599246105978eba45920d3423e3a436dbe2254c3,cb768f7a5cefa20deb81f89c62a1f135
../data/raw\HS_extracted/HS\M_N_RUSB.wav,HS,M_N_RUSB.wav,1761bd4a151efea378d7aa4c7ab03ad64c2fa048462be30d0ba8b48c767b7c7c,be4ba3c5564842db8ee8ca68e88e22ad
../data/raw\HS_extracted/HS\M_S3_LLSB.wav,HS,M_S3_LLSB.wav,8cccbf140279d44f80b8ff3b401fe290baa68495752fe6cc1245ac24542ac5bd,2e6f7ae033a67d837f6a9c20c6890ec6
../data/raw\HS_extracted/HS\M_S3_LUSB.wav,HS,M_S3_LUSB.wav,b778a92961a40fe7be22b462ebe0116b549970ff9b64054432ae42e1dbb274fc,6388ef87f944e1039b14f52ad9190289
../data/raw\HS_extracted/HS\M_S4_LUSB.wav,HS,M_S4_LUSB.wav,847a34a50d573595da92081f62ad22b71747bc7e2719bdf016082bd70598d198,50bf9d9aca6b0c226461616e2f9f73bc
../data/raw\HS_extracted/HS\M_T_LUSB.wav,HS,M_T_LUSB.wav,90ecb009b57ea0d81cae989eff77a9647d1c22b88b5cf0d6b05a131bc8404cac,c52d8e1a9abc28e573c27af4299b8682
../data/raw\LS_extracted/LS\F_CC_LLA.wav,LS,F_CC_LLA.wav,335102ce29559962368bfe6f855b96f095709aa354eb07a09bfb8fdff4b0a5c4,f301304d090925d3adfcf9ee81e0980b
../data/raw\LS_extracted/LS\F_CC_LMA.wav,LS,F_CC_LMA.wav,1551eca8b8edf452993ed90b0db860638403f14376aeb137edcf90ddb88b9729,bf4fab233510c820172273305b03bf38
../data/raw\LS_extracted/LS\F_CC_LUA.wav,LS,F_CC_LUA.wav,6a033c3022991a3350674c37200d6f76214d4e7580d03fbef32c12f362c54397,ca3fbd9e6a1397abcb99e55dd6f84cfd
../data/raw\LS_extracted/LS\F_CC_RLA.wav,LS,F_CC_RLA.wav,7087bb3226bdf547ff684e922bce4936fdf34196d09fed90e7d37248ce273db1,0ca587a674acba4413426e4e96c0708a
../data/raw\LS_extracted/LS\F_CC_RMA.wav,LS,F_CC_RMA.wav,ccc82265641fd77cfd43f967ac3648a39a86008475207c7c5c723a26bc4af188,9e7bef45d64a030f4ffc8c352b74158d
../data/raw\LS_extracted/LS\F_FC_LUA.wav,LS,F_FC_LUA.wav,a7394eb73eeeb0d43bf497be9846b8a51f112f609be8c29a5b91da7bc1d80f12,2c6723216e24ecff055e23ace278c6fd
../data/raw\LS_extracted/LS\F_FC_RLA.wav,LS,F_FC_RLA.wav,34378c2f6f66d97df21ccb5cff9bf5335ea1d069554a356c729c674ac012bd90,94085ffecf27649f304ae2a575a91da8
../data/raw\LS_extracted/LS\F_N_LLA.wav,LS,F_N_LLA.wav,d8e585f2e6c325deb607c0e3d299b135f23fbc36dff245b787562a6b26baf438,5af36b9b677b8496a5a57683ad4b3605
../data/raw\LS_extracted/LS\F_N_LMA.wav,LS,F_N_LMA.wav,4fca10815cf6a792e80af5af1b23de3461a35e3e16e08117f3fd084ef6889c0a,69fe3b3b206712b1340becb63c728346
../data/raw\LS_extracted/LS\F_N_LUA.wav,LS,F_N_LUA.wav,e3416021c0bf5eb37790422b283eb3afe8a30167d36c3260d56523901641d41b,74491af17804c832e4c35e311a3bd826
../data/raw\LS_extracted/LS\F_N_RLA.wav,LS,F_N_RLA.wav,012a1a39d4f38e5b08717bfb134b69e90621989c86f5e6181e307f178eb6a673,484f7d92800f4e9cf667d66b4c19faf0
